ID,Site,Subsite,Alternative_Name,Cruise,Month,Year,Type,Resolution,Units,Projection_Description,Projection,Ellipsoid,Server_Location,Filename,Secondary_File,Source,Vessel,Sonar,Frequency_kHz,URL,Note
19,SWFMG,6,WFMG,2017_07C_BEL_SWFMG,7,2017,Bathymetry,4,m,WGS_84_UTM_zone_16N,utm 16,WGS84,NFWF/1_Cruises/2017_07C_BEL_SWFMG/Multibeam/QimeraProjects/2017-07C-BEL/Export/BAGS/SWFMG6.bag,SWFMG6.bag,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG6_WFMG1/Bathymetry/Cube/WFMG_4mCUBEBathy.bag,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
20,SWFMG,6,NA,2017_07C_BEL_SWFMG,7,2017,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2017_07C_BEL_SWFMG/Multibeam/FMGT_Projects/SWFMG6.fmproj/Output/Mosaic/SWFMG_6_BS_TS_43-47_1m/SWFMG_6_BS_TS_43-47_1m.tif,SWFMG_6_BS_TS_43-47_1m.tif,NA,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
21,EL,3,NA,2017_10_WB2_CBASS,10,2017,Bathymetry,4,m,WGS_84_UTM_zone_16N,utm 16,WGS84,NFWF/1_Cruises/2017_10_WB2_CBASS/Multibeam/Qimera_Project/2017-10-WB2/Export/BAGS/EL3.bag,EL3.bag,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/Elbow/EL3/Bathymetry/EL3_4mSwathBathy.bag,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
22,EL,3,NA,2017_10_WB2_CBASS,10,2017,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2017_10_WB2_CBASS/Multibeam/FMGT_Projects/EL3.fmproj/Output/Mosaic/EL_3_BS_TS_43-47_1m/EL_3_BS_TS_43-47_1m.tif,EL_3_BS_TS_43-47_1m.tif,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
23,SWFMG,7A,WFMG2,2017_10_WB2_CBASS,10,2017,Bathymetry,4,m,WGS_84_UTM_zone_16N,utm 16,WGS84,NFWF/1_Cruises/2017_10_WB2_CBASS/Multibeam/Qimera_Project/2017-10-WB2/Export/BAGS/SWFMG7A.bag,SWFMG7A.bag,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG7_WFMG2/Bathymetry/WFMG2_4mSwathBathy.bag,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,Secondary version has 7A and 7B in one file
24,SWFMG,7A,WFMG2,2017_10_WB2_CBASS,10,2017,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2017_10_WB2_CBASS/Multibeam/FMGT_Projects/SWFMG7A.fmproj/Output/Mosaic/SWFMG_7A_BS_TS_43-47_1m/SWFMG_7A_BS_TS_43-47_1m.tif,SWFMG_7A_BS_TS_43-47_1m.tif,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
25,EL,4,NA,2018_04C_WB2_CBASS,4,2018,Bathymetry,2,m,WGS_84_UTM_zone_16N,utm 16,WGS84,NFWF/1_Cruises/2018_04C_WB2_CBASS/Multibeam/Qimera_Project/2018-04C-WB2/Export/BAGS/EL4.bag,EL4.bag,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/Elbow/EL4/Bathymetry/201804Elbow2mSA.bag,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,C-SCAMP begins transition to QPS Suite
26,EL,4,NA,2018_04C_WB2_CBASS,4,2018,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2018_04C_WB2_CBASS/Multibeam/FMGT_Projects/EL4.fmproj/Output/Mosaic/EL_4_BS_TS_43-47_1m/EL_4_BS_TS_43-47_1m.tif,EL_4_BS_TS_43-47_1m.tif,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/Elbow/EL4/Backscatter/EL4BS1m.tiff,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
27,SWFMG,9,1807,2018_07B_HOG_SWFMG,7,2018,Bathymetry,2,m,FPC_Universal_Transverse_Mercator_North_Hemisphere,utm 16,GRS80,NFWF/1_Cruises/2018_07B_HOG_SWFMG/QimeraProject/2018-07B-HOG/Export/SWFMG1807_2m_Raw.bag,SWFMG1807_2m_Raw.bag,NA,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
28,SWFMG,9,1807,2018_07B_HOG_SWFMG,7,2018,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2018_07B_HOG_SWFMG/FMGT_Projects/SWFMG_9.fmproj/Output/Mosaic/SWFMG_9_BS_TS_43-47_1m/SWFMG_9_BS_TS_43-47_1m.tif,SWFMG_9_BS_TS_43-47_1m.tif,NA,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
29,SWFMG,10A,1808,2018_08_HOG_SWFMG,8,2018,Bathymetry,2,m,FPC_Universal_Transverse_Mercator_North_Hemisphere,utm 16,GRS80,NFWF/1_Cruises/2018_08_HOG_SWFMG/QimeraProjects/2018-08-HOG/Export/1808-SWFMG_2m_Raw.bag,1808-SWFMG_2m_Raw.bag,NA,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
30,SWFMG,10A,1808,2018_08_HOG_SWFMG,8,2018,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2018_08_HOG_SWFMG/FMGT_Projects/SWFMG_10A.fmproj/Output/Mosaic/SWFMG_10A_BS_TS_43-47_1m/SWFMG_10A_BS_TS_43-47_1m.tif,SWFMG_10A_BS_TS_43-47_1m.tif,NA,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
31,SWFMG,10B,Mustache_Ext,2018_08_HOG_SWFMG,8,2018,Bathymetry,2,m,FPC_Universal_Transverse_Mercator_North_Hemisphere,utm 16,GRS80,NFWF/1_Cruises/2018_08_HOG_SWFMG/QimeraProjects/2018-08-HOG/Export/Mustache_Ext.bag,Mustache_Ext.bag,NA,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
32,SWFMG,10B,Mustache_Ext,2018_08_HOG_SWFMG,8,2018,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2018_08_HOG_SWFMG/FMGT_Projects/SWFMG_10B.fmproj/Output/Mosaic/SWFMG_10B_BS_TS_43-47_1m/SWFMG_10B_BS_TS_43-47_1m.tif,SWFMG_10B_BS_TS_43-47_1m.tif,NA,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
33,EL,5,NA,2018_09_WB2_CBASS,9,2018,Bathymetry,2,m,FPC_Universal_Transverse_Mercator_North_Hemisphere,utm 16,GRS80,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/Elbow/EL5/Bathymetry/1809_EL5_2mBathy_PRELIMINARY.bag,1809_EL5_2mBathy_PRELIMINARY.bag,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
34,EL,5,NA,2018_09_WB2_CBASS,9,2018,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2018_09_WB2_CBASS/Multibeam/FMGT_Projects/EL_5.fmproj/Output/Mosaic/EL_5_BS_TS_43-47_1m/EL_5_BS_TS_43-47_1m.tif,EL_5_BS_TS_43-47_1m.tif,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
35,SWFMG,8A,WFMG3C,2018_09_WB2_CBASS,9,2018,Bathymetry,2,m,FPC_Universal_Transverse_Mercator_North_Hemisphere,utm 16,GRS80,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG8_WFMG3/Bathymetry/1809_WFMG3C_2mBathy_PRELIMINARY.bag,1809_WFMG3C_2mBathy_PRELIMINARY.bag,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
36,SWFMG,8A,WFMG3C,2018_09_WB2_CBASS,9,2018,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2018_09_WB2_CBASS/Multibeam/FMGT_Projects/SWFMG_8A.fmproj/Output/Mosaic/SWFMG_8A_BS_TS_43-47_1m/SWFMG_8A_BS_TS_43-47_1m.tif,SWFMG_8A_BS_TS_43-47_1m.tif,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
37,SWFMG,8B,WFMG3D,2018_09_WB2_CBASS,9,2018,Bathymetry,2,m,FPC_Universal_Transverse_Mercator_North_Hemisphere,utm 16,GRS80,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG8_WFMG3/Bathymetry/1809_WFMG3D_2mBathy_PRELIMINARY.bag,1809_WFMG3D_2mBathy_PRELIMINARY.bag,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
38,SWFMG,8B,WFMG3D,2018_09_WB2_CBASS,9,2018,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2018_09_WB2_CBASS/Multibeam/FMGT_Projects/SWFMG_8B.fmproj/Output/Mosaic/SWFMG_8B_BS_TS_43-47_1m/SWFMG_8B_BS_TS_43-47_1m.tif,SWFMG_8B_BS_TS_43-47_1m.tif,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
39,EL,6A,NA,2018_10_HOG,10,2018,Bathymetry,2,m,FPC_Universal_Transverse_Mercator_North_Hemisphere,utm 16,GRS80,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/Elbow/EL6/Bathymetry/EL6A_PRELIMINARY.bag,EL6A_PRELIMINARY.bag,NA,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat T50-R Dual Head,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
40,EL,6A,NA,2018_10_HOG,10,2018,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2018_10_HOG/FMGT_Projects/EL_6A.fmproj/Output/Mosaic/EL_6A_BS_TS_43-47_1m/EL_6A_BS_TS_43-47_1m.tif,EL_6A_BS_TS_43-47_1m.tif,NA,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat T50-R Dual Head,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
41,EL,6B,NA,2018_10_HOG,10,2018,Bathymetry,2,m,FPC_Universal_Transverse_Mercator_North_Hemisphere,utm 16,GRS80,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/Elbow/EL6/Bathymetry/EL6B_PRELIMINARY.bag,EL6B_PRELIMINARY.bag,NA,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat T50-R Dual Head,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
42,EL,6B,NA,2018_10_HOG,10,2018,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2018_10_HOG/FMGT_Projects/EL_6B.fmproj/Output/Mosaic/EL_6B_BS_TS_43-47_1m/EL_6B_BS_TS_43-47_1m.tif,EL_6B_BS_TS_43-47_1m.tif,NA,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat T50-R Dual Head,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
43,RADIUS,1A,NA,2019_04A_HOG,4,2019,Bathymetry,3,m,FPC_Universal_Transverse_Mercator_North_Hemisphere,utm 16,GRS80,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/Radius_Ulna_Ulbow/RADIUS_1/Bathymetry/RadiusStep1A_3m.bag,RadiusStep1A_3m.bag,NA,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat T50-R Dual Head,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
44,RADIUS,1A,NA,2019_04A_HOG,4,2019,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2019_04A_HOG/Multibeam/FMGT_Projects/RADIUS_1A.fmproj/Output/Mosaic/RADIUS_1A_BS_TS_43-47_1m/RADIUS_1A_BS_TS_43-47_1m.tif,RADIUS_1A_BS_TS_43-47_1m.tif,NA,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat T50-R Dual Head,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
45,ULNA,1A,NA,2019_04A_HOG,4,2019,Bathymetry,3,m,FPC_Universal_Transverse_Mercator_North_Hemisphere,utm 16,GRS80,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/Radius_Ulna_Ulbow/ULNA_1/Bathymetry/UlnaLedges1A_3m.bag,UlnaLedges1A_3m.bag,NA,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat T50-R Dual Head,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
46,ULNA,1A,NA,2019_04A_HOG,4,2019,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2019_04A_HOG/Multibeam/FMGT_Projects/ULNA_1A.fmproj/Output/Mosaic/ULNA_1A_BS_TS_43-47_1m/ULNA_1A_BS_TS_43-47_1m.tif,ULNA_1A_BS_TS_43-47_1m.tif,NA,CSCAMP,R/V Hogarth,Teledyne Reson SeaBat T50-R Dual Head,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
47,RADIUS,2A,NA,2019_04B_WB2_CBASS,4,2019,Bathymetry,3,m,FPC_Universal_Transverse_Mercator_North_Hemisphere,utm 16,GRS80,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/Radius_Ulna_Ulbow/RADIUS_2/Bathymetry/RadiusStep_2A_3m.bag,RadiusStep_2A_3m.bag,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat T50-R Dual Head,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
48,RADIUS,2A,NA,2019_04B_WB2_CBASS,4,2019,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2019_04B_WB2_CBASS/Multibeam/FMGT_Projects/RADIUS_2A.fmproj/Output/Mosaic/RADIUS_2A_BS_TS_43-47_1m/RADIUS_2A_BS_TS_43-47_1m.tif,RADIUS_2A_BS_TS_43-47_1m.tif,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat T50-R Dual Head,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
49,ULBOW,1A,NA,2019_04B_WB2_CBASS,4,2019,Bathymetry,3,m,FPC_Universal_Transverse_Mercator_North_Hemisphere,utm 16,GRS80,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/Radius_Ulna_Ulbow/ULBOW_1/Bathymetry/ULbow_1A_3m.bag,ULbow_1A_3m.bag,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat T50-R Dual Head,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
50,ULBOW,1A,NA,2019_04B_WB2_CBASS,4,2019,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2019_04B_WB2_CBASS/Multibeam/FMGT_Projects/ULBOW_1A.fmproj/Output/Mosaic/ULBOW_1A_BS_TS_43-47_1m/ULBOW_1A_BS_TS_43-47_1m.tif,ULBOW_1A_BS_TS_43-47_1m.tif,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat T50-R Dual Head,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
51,ULBOW,1B,NA,2019_04B_WB2_CBASS,4,2019,Bathymetry,3,m,FPC_Universal_Transverse_Mercator_North_Hemisphere,utm 16,GRS80,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/Radius_Ulna_Ulbow/ULBOW_1/Bathymetry/ULbow_1B_3m.bag,ULbow_1B_3m.bag,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat T50-R Dual Head,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
